"chemical"	"gene"	"RQ"	"RQ2"	"RQ3"	"RQ4"	"RQ5"	"RQ6"	"chemicalgroup"	"average_RQ"	"SEM"
"0.01 uM 9p "	"Adiponectin"	1.2	0.97	0.9	NA	NA	NA	"uM p"	1.02	0.0906151814604546
"0.01 uM 9p "	"AhR"	1.05	0.96	1.09	NA	NA	NA	"uM p"	1.03	0.0384418753155694
"0.01 uM 9p "	"CEBPA"	1.08	1.04	1.16	NA	NA	NA	"uM p"	1.09	0.0352766841475278
"0.01 uM 9p "	"CYP1A1"	1.76	1.27	1.19	NA	NA	NA	"uM p"	1.41	0.178169706865237
"0.01 uM 9p "	"FABP4"	1.23	1.11	0.88	NA	NA	NA	"uM p"	1.07	0.102686145338329
"0.01 uM 9p "	"LPL"	0.97	1.1	0.76	NA	NA	NA	"uM p"	0.94	0.0990510530540242
"0.01 uM 9p "	"PPARγ"	1.04	1.02	0.89	NA	NA	NA	"uM p"	0.98	0.047022453265553
"0.01 uM 9p "	"Plin"	1.26	0.95	0.85	NA	NA	NA	"uM p"	1.02	0.123423390543824
"0.01 uM 9p "	"Resistin"	1.13	0.75	0.69	NA	NA	NA	"uM p"	0.86	0.137759855465145
"0.01 uM Phe "	"Adiponectin"	1.06	1.05	1.3	NA	NA	NA	"uM Phe"	1.14	0.0817176711475418
"0.01 uM Phe "	"AhR"	1	1.04	1.25	NA	NA	NA	"uM Phe"	1.1	0.0775313556640867
"0.01 uM Phe "	"CEBPA"	1.04	0.98	1.18	NA	NA	NA	"uM Phe"	1.07	0.0592546294487706
"0.01 uM Phe "	"CYP1A1"	0.61	0.87	0.97	NA	NA	NA	"uM Phe"	0.82	0.107289846262874
"0.01 uM Phe "	"FABP4"	1.12	0.83	0.99	NA	NA	NA	"uM Phe"	0.98	0.0838649708360609
"0.01 uM Phe "	"LPL"	1.19	0.99	1.39	NA	NA	NA	"uM Phe"	1.19	0.115470053837925
"0.01 uM Phe "	"PPARγ"	1.27	1	0.88	NA	NA	NA	"uM Phe"	1.05	0.115325625946708
"0.01 uM Phe "	"Plin"	0.82	0.85	1.16	NA	NA	NA	"uM Phe"	0.94	0.108678935912674
"0.01 uM Phe "	"Resistin"	0.99	0.76	0.68	NA	NA	NA	"uM Phe"	0.81	0.0929157324317757
"0.1 uM 9p"	"Adiponectin"	1.3	1.16	1.34	NA	NA	NA	"uM p"	1.27	0.0545690184791497
"0.1 uM 9p"	"AhR"	0.82	0.93	1.24	0.67	1.13	0.835	"uM p"	0.94	0.0865038534787131
"0.1 uM 9p"	"CEBPA"	1.28	1.38	1.18	NA	NA	NA	"uM p"	1.28	0.0577350269189626
"0.1 uM 9p"	"CYP1A1"	1.53	2.15	1.51	1.59	NA	NA	"uM p"	1.7	0.152616076042685
"0.1 uM 9p"	"FABP4"	1.34	2.13	1.08	0.79	1.68	1.455	"uM p"	1.41	0.190743064530972
